"path","git_state","artifact_class","slice_id","ownership","dependency","disposition","verification"
"data/drafts/index.json"," M","runtime_state_index","L02","unknown_runtime_mutation_preserved","draft_store_runtime_writer+tracking_policy","preserve_unstaged_no_mutation","not_run;writer_and_tracking_policy_required"
"Docs/INDEX.md"," M","navigation_or_tool_documentation","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/personas/PERSONA_AGENCY_OWNER_ELENA.md","??","persona_documentation","L12","unknown_preserved_concurrent","corresponding_persona_or_L03_to_L10_domain_slice","preserve_unstaged_no_mutation","document_or_screenshot_presence_only;claims_not_independently_verified"
"Docs/research/HORIZON_1_AUTONOMOUS_PROPOSAL_COMPILER_2026-09-01.md","??","research_documentation","L03","unknown_preserved_concurrent","intake+proposal_contracts+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"Docs/research/HORIZON_2_IROPS_AUTO_HEALER_SIMULATOR_2026-09-01.md","??","research_documentation","L04","unknown_preserved_concurrent","journey_disruption_graph+crisis_financial_actions+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"Docs/research/HORIZON_3_ENTERPRISE_DUTY_OF_CARE_RADAR_2026-09-01.md","??","research_documentation","L05","unknown_preserved_concurrent","crisis_traveler_state+threat_evidence+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"Docs/research/PER_0922_EPISTEMIC_PROVENANCE_AND_CONFLICT_ARBITER_2026-09-01.md","??","research_documentation","L06","unknown_preserved_concurrent","canonical_intake_evidence_contract+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"Docs/research/PER_DOC_ICAO_9303_MRZ_AND_VOUCHER_PARSER_2026-09-01.md","??","research_documentation","L07","unknown_preserved_concurrent","document_input+checksum_parser_contract+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"Docs/research/PER_FIN_VIRTUAL_CARDS_AND_FINANCIAL_SETTLEMENT_2026-09-01.md","??","research_documentation","L08","unknown_preserved_concurrent","fx_payment_authority_and_secrets_boundaries+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_and_trust_gates_identified"
"Docs/research/PER_GRP_PARETO_CONSENSUS_AND_SPLIT_LEDGERS_2026-09-01.md","??","research_documentation","L09","unknown_preserved_concurrent","group_preferences+accounting_contracts+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"Docs/review/A1_1_WORKTREE_CLASSIFICATION_CLOSURE_2026-09-01.md","??","review_documentation","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/review/assets/a1_1_commit_2f9a638_classification.csv","??","project_artifact","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/review/assets/a1_1_live_worktree_2026-09-01_classification.csv","??","project_artifact","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/review/assets/elena_01_overview.png","??","evidence_screenshot","L12","unknown_preserved_concurrent","corresponding_persona_or_L03_to_L10_domain_slice","preserve_unstaged_no_mutation","document_or_screenshot_presence_only;claims_not_independently_verified"
"Docs/review/assets/elena_02_quote_review.png","??","evidence_screenshot","L12","unknown_preserved_concurrent","corresponding_persona_or_L03_to_L10_domain_slice","preserve_unstaged_no_mutation","document_or_screenshot_presence_only;claims_not_independently_verified"
"Docs/review/assets/elena_03_payments.png","??","evidence_screenshot","L12","unknown_preserved_concurrent","corresponding_persona_or_L03_to_L10_domain_slice","preserve_unstaged_no_mutation","document_or_screenshot_presence_only;claims_not_independently_verified"
"Docs/review/assets/proposal_client_accepted_hold.png","??","evidence_screenshot","L13","unknown_preserved_concurrent","security_authority+durable_job_state+audit_log+deadline_validation","preserve_unstaged_no_mutation","static_blockers_observed;security_correctness_S2_S3_required"
"Docs/review/assets/proposal_client_recalculated.png","??","evidence_screenshot","L13","unknown_preserved_concurrent","security_authority+durable_job_state+audit_log+deadline_validation","preserve_unstaged_no_mutation","static_blockers_observed;security_correctness_S2_S3_required"
"Docs/review/assets/proposal_client_tiers.png","??","evidence_screenshot","L13","unknown_preserved_concurrent","security_authority+durable_job_state+audit_log+deadline_validation","preserve_unstaged_no_mutation","static_blockers_observed;security_correctness_S2_S3_required"
"Docs/review/FINDINGS_REGISTER_2026-08-31.md"," M","review_documentation","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/review/FINDINGS_TASKS_CONSOLIDATED_2026-08-30.md"," M","review_documentation","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/review/IMPLEMENTATION_PLAN_2026-08-31.md"," M","review_documentation","L01","current_a1_1_closure_session","canonical_review_registers+git_inventory","a1_1_documentation_tooling_uncommitted","a1_1_validator+py_compile+diff_and_link_checks"
"Docs/status/BUILD_QUEUE_CONSOLIDATED.md"," M","status_documentation","L10","unknown_preserved_concurrent","corporate_visa_briefing_accounting_logistics+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_suite_identified"
"frontend/src/app/(agency)/workbench/DocumentMRZPanel.tsx","??","frontend_product_code","L07","unknown_preserved_concurrent","document_input+checksum_parser_contract+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"frontend/src/app/(agency)/workbench/DutyOfCareRadarPanel.tsx","??","frontend_product_code","L11","unknown_preserved_concurrent","L03+L04+L05+L06+L07+L08+L09+L10+canonical_server_ui_route_contract","preserve_unstaged_no_mutation","not_run;full_api_contract_backend_frontend_gate_required_after_stabilization"
"frontend/src/app/(agency)/workbench/EpistemicPanel.tsx","??","frontend_product_code","L06","unknown_preserved_concurrent","canonical_intake_evidence_contract+L11","preserve_unstaged_no_mutation","not_run_by_classification_pass;focused_test_identified"
"frontend/src/app/(agency)/workbench/FinancialSettlementPanel.tsx","??","frontend_product_code","L11","unknown_preserved_concurrent","L03+L04+L05+L06+L07+L08+L09+L10+canonical_server_ui_route_contract","preserve_unstaged_no_mutation","not_run;full_api_contract_backend_frontend_gate_required_after_stabilization"
