path,git_state,artifact_class,slice_id,ownership,dependency,disposition,verification
.env.example, M,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
.github/workflows/ci.yml, M,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
.gitignore, M,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Dockerfile, M,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Dockerfile.frontend,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Dockerfile.spine_api,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Docs/INDEX.md, M,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Docs/LAUNCH_STATUS.md,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Docs/TPM_TRAINING_BLUEPRINT_PRODUCT_MAPPING_2026-09-01.md,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Docs/architecture/ADVANCED_INTERNAL_SYSTEMS_AND_COMPILERS_2026-09-03.md,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Docs/architecture/CODEBASE_FEATURES_FLOWS_LOOPS_MAP_2026-09-03.md,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
Docs/architecture/SELF_CONTAINED_INTERNAL_ENGINES_HARDENING_2026-09-02.md,??,unknown_preserved_concurrent_artifact,LIVE-UNCLASSIFIED,unknown_preserved_concurrent,current_checkout_and_repo_instructions,preserve_pending_semantic_classification,git_status_presence_only;not_product_or_release_proof
